model,accuracy,precision,recall,specificity,f1_score,mcc,auc_roc
SVM,0.5939622641509434,0.5828343313373253,0.6611320754716982,0.5267924528301887,0.6195190947666195,0.18964358119021696,0.637664079743681
GB,0.8584905660377359,0.8665123456790124,0.8475471698113207,0.8694339622641509,0.8569248378481495,0.7171529221370997,0.9288905660377359
RF,0.8837735849056604,0.8902532617037605,0.8754716981132076,0.8920754716981132,0.882800608828006,0.7676529924269627,0.9502937700249198
